,ID,Module ID,Code
DA 35. SPIN KPI Waardes,102000001158,102000001158,
⠀⠀⠀       ◼️ INPUT MODULES,102000000052,102000000052,
IP 02. IAS16 kosten (cumulatief),102000000684,102000000684,
└IP 02a. IAS16 naar maanden,102000001215,102000001215,
IP 03. Risico & Kansen,102000000694,102000000694,
'IP 03. Risico & Kansen'.'IP 19. Risico & Kansen - Export tabel',1893000000000,102000000694,
'IP 03. Risico & Kansen'.'IP 03. Risico & Kansen - Export MJP',1893000000001,102000000694,
└IP 03a. Naar jaren,102000000868,102000000868,
'└IP 03a. Naar jaren'.'└IP 03a. Naar jaren - Export MJP',2332000000000,102000000868,
IP 05. Seizoenspatronen,102000000701,102000000701,
'IP 05. Seizoenspatronen'.'IP 05. Seizoenspatronen - Previous version copy',1915000000000,102000000701,
IP 05. Seizoenspatronen - Copy,102000001249,102000001249,
└ IP 05a. Seizoenspatronen - Collect,102000000712,102000000712,
└ IP 05b. Seizoenspatronen - Beschrijving Verdeling,102000001246,102000001246,
└ IP 05c. Seizoenspatronen - IC,102000000926,102000000926,
└ IP 05d. Seizoenspatronen Thema,102000001149,102000001149,
IP 10. Verdeling naar kostenplaatsen,102000000925,102000000925,
'IP 10. Verdeling naar kostenplaatsen'.'IP 10.1 Subload view',2462000000000,102000000925,
'IP 10. Verdeling naar kostenplaatsen'.Export inputs to new module,2462000000001,102000000925,
IP 10x1. NEW Afdelingkosten naar KP,102000001238,102000001238,
IP 10x2. NEW Handmatig Verdeling naar KP,102000001237,102000001237,
'IP 10x2. NEW Handmatig Verdeling naar KP'.'IP 10.1 Subload view',3231000000000,102000001237,
└ IP 10a. Verdeling naar grootboekrekening,102000000755,102000000755,
'└ IP 10a. Verdeling naar grootboekrekening'.Export inputs to new module,2049000000005,102000000755,
└ IP 10a NEW. Verdeling naar grootboekrekening,102000001244,102000001244,
'└ IP 10a NEW. Verdeling naar grootboekrekening'.'Subload Waarde + Driver',3245000000000,102000001244,
└ IP 10b. Verdeling naar grootboekrekening - Import,102000000897,102000000897,
'└ IP 10b. Verdeling naar grootboekrekening - Import'.'UNI.01 Update L Uni-Code from IP 10b',2399000000003,102000000897,
'└ IP 10b. Verdeling naar grootboekrekening - Import'.'UNI.02 Update M IM 20 from IP 10b',2399000000004,102000000897,
└ IP 10c. Selecteer seizoenspatroon,102000000759,102000000759,
'└ IP 10c. Selecteer seizoenspatroon'.'IP 27b - sv 1 - import maanden',2059000000000,102000000759,
└ IP 10d. Calculatie seizoenspatronen,102000000760,102000000760,
'└ IP 10d. Calculatie seizoenspatronen'.'IP 27c - sv 1 - import maanden',2061000000000,102000000760,
'└ IP 10d. Calculatie seizoenspatronen'.'SV 2 - Export Budget tbv SAP',2061000000001,102000000760,
'└ IP 10d. Calculatie seizoenspatronen'.'IP05 Subload FInal Waarde',2061000000002,102000000760,
'└ IP 10d. Calculatie seizoenspatronen'.Export budget tbv Powerapps,2061000000005,102000000760,
└ IP 10e. Maand FTE Verdeling naar KP,102000000765,102000000765,
'└ IP 10e. Maand FTE Verdeling naar KP'.'SV1 - IP 27d. - handmatige FTE import',2073000000000,102000000765,
'└ IP 10e. Maand FTE Verdeling naar KP'.Export budget tbv PowerApps,2073000000001,102000000765,
└ IP 10f. - Gemiddeld tarief FTE per kostenplaatsen,102000000832,102000000832,
'└ IP 10f. - Gemiddeld tarief FTE per kostenplaatsen'.'└ IP 10f. - Gemiddeld tarief FTE Copy input data',2252000000000,102000000832,
└ IP 10f. NEW - Jaar FTE tarief/uren per KP,102000001236,102000001236,
'└ IP 10f. NEW - Jaar FTE tarief/uren per KP'.'IP 10f.1 NEW - Update M: Copy input to module IP10x1',3229000000000,102000001236,
IP 11. IC & Leenmonteurs input,102000000929,102000000929,
'IP 11. IC & Leenmonteurs input'.'IP 11. IC input - Copy input to new LI',2471000000001,102000000929,
└ IP 11a. Invoer seizoenspatroon IC handmatig,102000000991,102000000991,
IP 12. Dummy Refresh,102000000954,102000000954,
IP 13. UMDT op Activiteiten,102000000964,102000000964,
IP 14. Directe toeslagen,102000000965,102000000965,
IP 15. Uurtarieven,102000001076,102000001076,
IP 16. Invoer DB/TS kosten,102000000979,102000000979,
└ IP 16a. Invoer DB/TS allocatie,102000000980,102000000980,
└ IP 16b. Invoer DB/TS Inflatie,102000000981,102000000981,
└ IP 16c. Toeslagen percentages,102000000984,102000000984,
IP 17. UMDT op Kostenplaats,102000000992,102000000992,
IP 18. Doorbelasting & Toeslagen split,102000000998,102000000998,
└ IP 18a. Seizoenspatronen - DB/TS,102000000999,102000000999,
└ IP 18b. Seizoenspatronen Calculatie Maand,102000001150,102000001150,
IP 19. UMDT op L3++ Thema's,102000001003,102000001003,
IP 20. UMDT Thema's op Kostenplaats,102000001009,102000001009,
IP 21. Input KPI's - MJP,102000001030,102000001030,
└ IP 21a. Input KPI's - Months,102000001068,102000001068,
IP 22. Create KPI_Afdeling,102000001032,102000001032,
'IP 22. Create KPI_Afdeling'.'1. Create new KPI',2751000000001,102000001032,
'IP 22. Create KPI_Afdeling'.'2. Create New KPI_Afd (manual)',2751000000000,102000001032,
'IP 22. Create KPI_Afdeling'.'3. Subload to IM 42 (Manual)',2751000000002,102000001032,
'IP 22. Create KPI_Afdeling'.'IP 22.4 Blank out input',2751000000003,102000001032,
IP 23. KPI Admin,102000001074,102000001074,
IP 24. Kostenplaats Doorbelasting Input,102000001064,102000001064,
IP 25.  IC allocation naar kostenplaats,102000001025,102000001025,
IP 26. Leenmmonteurs,102000001073,102000001073,
IP 27 Sip Thema L3++,102000001080,102000001080,
'IP 27 Sip Thema L3++'.'IP 27.1 SIP Thema L3+ creation',2865000000000,102000001080,
'IP 27 Sip Thema L3++'.'IP 27.2 SIP Thema L3++ creation',2865000000001,102000001080,
"IP 28. BAK, Subsidie, Overige Omzet",102000001126,102000001126,
"└IP 28a. BAK, Subsidie Meerjarig",102000001185,102000001185,
IP 29. Seizoenspatroon Activity L4+,102000001142,102000001142,
IP 30. Seizoenspatroon Thema L3++,102000001143,102000001143,
IP 31. Netverder,102000001183,102000001183,
IP 32. Urenschrijvende FTE's,102000001188,102000001188,
IP 33. Loonkosten,102000001232,102000001232,
IP 34. Personeelskosten naar grootboekrekening,102000001253,102000001253,
IP 35. Personeelskosten handmatig naar grootboekrekening,102000001256,102000001256,
IP 36. Verdeling FTEs naar prestatiesoorten,102000001263,102000001263,
IP 37. Verdeling FTE niet prestatiesoort,102000001293,102000001293,
IP 38. Loonkosten prestatiesoort,102000001287,102000001287,
IP 39. Dekking % Prestatiesoorten,102000001288,102000001288,
IP 40. Input Thema L3++ split,102000001304,102000001304,
IP 41. Input Activiteit L4+ split,102000001312,102000001312,
IP 42. IKT Budget,102000001329,102000001329,
IP 43. IKT Growth,102000001330,102000001330,
IP 44. Dummy Maand Allocatie,102000001332,102000001332,
IP 45. Netverliezen Budget,102000001341,102000001341,
IP 46. Netverliezen Future,102000001342,102000001342,
IP 47. Netverliezen Eigenschappen,102000001348,102000001348,
IP 48. KPI report creation input,102000001364,102000001364,
IP 49. Forecast keuze uurtarieven,102000001373,102000001373,
⠀⠀⠀      ◼️  Calculation Modules,102000000093,102000000093,
CA 00. SIP Adjusted,102000000893,102000000893,
└CA 00a. SIP- Delta Analyse,102000000891,102000000891,
CA 01. SIP - continued,102000000899,102000000899,
CA 04. FTE naar COEA,102000001072,102000001072,
CA 05. Risico & Kansen,102000000696,102000000696,
'CA 05. Risico & Kansen'.'CA 25. Risico & Kansen - Export tabel',1901000000000,102000000696,
CA 06. FTE kosten MJP,102000001039,102000001039,
CA 07. Variante SIP/MJP,102000000865,102000000865,
└ CA 07a. Selectie SIP Varianten voor verglijk,102000000886,102000000886,
CA 11. Verdeling naar Grootboekrekening overzicht,102000000754,102000000754,
'CA 11. Verdeling naar Grootboekrekening overzicht'.Export inputs to new module,2047000000000,102000000754,
CA 11 NEW. Verdeling naar Grootboekrekening,102000001245,102000001245,
└ CA 11a. Verdeling naar maand overzicht,102000000846,102000000846,
└ CA 11a NEW. Verdeling naar maand overzicht,102000001303,102000001303,
CA 14. FTE Versie Variance,102000000905,102000000905,
CA 16. Controle Dekking Uren,102000000911,102000000911,
CA 16 NEW. Controle Dekking COEA,102000001275,102000001275,
└CA 16a. Controle UMD vs Thema,102000001208,102000001208,
CA 17. Controle Volledigheid KP/GBR/Maand/Thema,102000000912,102000000912,
CA 18. Invoer seizoenspatroon IC,102000000931,102000000931,
CA 19. Rekeningcategorie Allocatie,102000000948,102000000948,
└ CA 19a. Rekening categorie verdeling,102000000949,102000000949,
CA 20. Toeslag Direct,102000000959,102000000959,
CA 21. Berekend UMDT op Activiteit,102000000967,102000000967,
'CA 21. Berekend UMDT op Activiteit'.'01. summary dashboard',2569000000001,102000000967,
└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+,102000000994,102000000994,
└ CA 21a NEW. Allocatie naar CC Activiteit L4+ - Copy,102000001251,102000001251,
└ CA 21b. UMDT KPI's,102000001002,102000001002,
└ CA 21c. UMDT + Inflatie (L4+),102000001053,102000001053,
└  CA 21d. Activiteit_kostenplaats combinatie,102000001170,102000001170,
'└  CA 21d. Activiteit_kostenplaats combinatie'.'ACKO01 Load to L Activiteit_Kostenplaats',3073000000000,102000001170,
'└  CA 21d. Activiteit_kostenplaats combinatie'.'ACKO02 Load IM to IM Activiteit_Kostenplaats',3073000000001,102000001170,
CA 22. Berekening Doorbelastingen,102000000982,102000000982,
└ CA 22a. Berekening toeslagen,102000001160,102000001160,
└ CA 22a. Berekening toeslagen - Copy,102000001356,102000001356,
└ CA 22b. Collect toeslagen,102000001135,102000001135,
└ CA 22c. Collect indirecte toeslagen,102000001179,102000001179,
CA 23. Berekend UMDT op L3++ Thema's,102000001007,102000001007,
└  CA 23a. Allocatie naar Kostenplaats Thema L3 +,102000001015,102000001015,
└ CA 23b. UMDT Thema's KPI's,102000001018,102000001018,
└ CA 23c. UMDT + Inflatie (L3+),102000001058,102000001058,
CA 24. Budget Kosten uren uitvoeringskosten-TBD,102000001021,102000001021,
CA 24. MJP Kosten uren uitvoeringskosten,102000001343,102000001343,
CA 25. Budget Uren uitvoeringskosten,102000001020,102000001020,
CA 25. MJP Uren uitvoeringskosten,102000001344,102000001344,
└ CA 25a. FTE & Uurtarief input,102000001024,102000001024,
CA 26. Calculatie Toeslag Indirect,102000001043,102000001043,
CA 27. IC Kostenplaats Waarde,102000001067,102000001067,
CA 28. KPI Admin per KPI,102000001075,102000001075,
CA 29. MJP naar Afdelingen,102000001102,102000001102,
└  CA 29a. MJP naar Afdeling Collect,102000001212,102000001212,
CA 30. DB/TS naar Kostenplaats,102000001114,102000001114,
CA 30a. DB/TS naar Afdeling,102000001123,102000001123,
CA 31. Toeslag Direct MJP,102000001120,102000001120,
CA 32. Toeslag Indirect MJP,102000001122,102000001122,
CA 32xx. Toeslag Indirect MJP,102000001363,102000001363,
CA 33. Toeslag indirect dekkings controle,102000001132,102000001132,
CA 34. MJP naar thema's,102000001139,102000001139,
'CA 34. MJP naar thema''s'.'CA 34. MJP naar thema''s - Export MJP',3002000000000,102000001139,
'CA 34. MJP naar thema''s'.'CA 34. MJP naar thema''s - Export MJP OPEX',3002000000001,102000001139,
'CA 34. MJP naar thema''s'.'CA 34. MJP naar thema''s - Export MJP (Live)',3002000000002,102000001139,
CA 34. MJP naar thema's - Meerjarig,102000001198,102000001198,
'CA 34. MJP naar thema''s - Meerjarig'.'CA 34. MJP naar thema''s - Meerjarig - Export LTIP',3148000000000,102000001198,
└CA 34a MJP thema's voor RP 10 11 12,102000001146,102000001146,
CA 35. Monthly allocation thema L3 (aggregated),102000001152,102000001152,
└CA 35a. Monthly allocation Activity L4+,102000001140,102000001140,
└CA 35b. Monthly allocation Activity L4+ to UMDT,102000001163,102000001163,
└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy,102000001167,102000001167,
└CA 35d. Monthly allocation Thema L3++,102000001141,102000001141,
└CA 35e. Monthly allocation Thema L3++ to UMDT,102000001168,102000001168,
└CA 35f. Monthly allocation Thema L3++ to UMDT  to KP,102000001169,102000001169,
└CA 35g. Monthly allocation on thema L3,102000001222,102000001222,
CA 36. Doorbelastingen naar Maand,102000001164,102000001164,
CA 37. IC naar GBR/KP,102000001165,102000001165,
CA 38. Toeslagen GBR,102000001181,102000001181,
CA 39. Other Rekeningcategorie GBR,102000001182,102000001182,
CA 42. Materiaal Staging Thema L3++,102000001201,102000001201,
CA 43. Materiaal Staging Activiteit L4+,102000001202,102000001202,
└ CA 47a. Versturende Toeslag Indirect Staging,102000001214,102000001214,
CA 49. PY and CY actual drivers,102000001282,102000001282,
CA 48. Personeelskosten naar maand,102000001264,102000001264,
CA 50. Monthly allocation key FSP,102000001297,102000001297,
CA 51. Monthly allocation 5 years,102000001298,102000001298,
CA 52. UMDT - Thema Regio EG,102000001305,102000001305,
CA 53. UMDT - Activiteit Regio EG,102000001313,102000001313,
CA 54. Bezettingsresultaat en dekkingsgraad,102000001322,102000001322,
CA 55. Correctiefactor,102000001291,102000001291,
CA 56. Opslag per uur,102000001289,102000001289,
CA 57. Uurtarief Afdeling,102000001270,102000001270,
└CA 57a. Productieve uren,102000001315,102000001315,
CA 58. Uurtarief Subafdeling,102000001327,102000001327,
CA 59. IKT,102000001338,102000001338,
CA 60. Netverliezen Allocatie,102000001347,102000001347,
CA 61. Monthly allocation 5 years Opex/Capex,102000001350,102000001350,
